vehicle_no,date,arrival_time,exit_time
MHUN7063,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:00:00
MHYN4677,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:00:00
MHEL6595,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:00:00
MHNQ2590,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:20:00
MHHA0518,2024-09-12,2024-09-12 05:00:00,
MHGS9163,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:00:00
MHJU1350,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:00:00
MHYN8096,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:40:00
MHZI0593,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:20:00
MHBR3603,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:40:00
MHVR9603,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:20:00
MHGH6189,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:20:00
MHRP7066,2024-09-12,2024-09-12 05:00:00,2024-09-12 10:00:00
MHYM2116,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:20:00
MHNG3009,2024-09-12,2024-09-12 05:00:00,2024-09-12 10:00:00
MHBD3420,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:20:00
MHBL2555,2024-09-12,2024-09-12 05:00:00,2024-09-12 08:40:00
MHDS3083,2024-09-12,2024-09-12 05:00:00,2024-09-12 10:20:00
MHHB4038,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:20:00
MHFU6425,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:40:00
MHZF8417,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:20:00
MHMY1867,2024-09-12,2024-09-12 05:00:00,2024-09-12 09:20:00
MHVK9930,2024-09-12,2024-09-12 05:20:00,2024-09-12 08:40:00
MHQS8540,2024-09-12,2024-09-12 05:20:00,2024-09-12 10:00:00
MHKZ3897,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:00:00
MHUC0067,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:00:00
MHCF5028,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:20:00
MHKU7664,2024-09-12,2024-09-12 05:20:00,2024-09-12 11:00:00
MHZO3666,2024-09-12,2024-09-12 05:20:00,2024-09-12 08:40:00
MHGR7572,2024-09-12,2024-09-12 05:20:00,2024-09-12 10:40:00
MHQL6440,2024-09-12,2024-09-12 05:20:00,2024-09-12 10:40:00
MHQO3976,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:40:00
MHEB8784,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:20:00
MHVE9824,2024-09-12,2024-09-12 05:20:00,2024-09-12 08:20:00
MHRZ4847,2024-09-12,2024-09-12 05:20:00,2024-09-12 08:40:00
MHHG0235,2024-09-12,2024-09-12 05:20:00,2024-09-12 10:00:00
MHIM2035,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:40:00
MHEF2418,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:20:00
MHLQ6139,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:40:00
MHTL7625,2024-09-12,2024-09-12 05:20:00,2024-09-12 10:40:00
MHTL4076,2024-09-12,2024-09-12 05:20:00,2024-09-12 09:20:00
MHCC8728,2024-09-12,2024-09-12 05:40:00,2024-09-12 10:00:00
MHDW7472,2024-09-12,2024-09-12 05:40:00,2024-09-12 08:40:00
MHZU4672,2024-09-12,2024-09-12 05:40:00,2024-09-12 10:20:00
MHVL5571,2024-09-12,2024-09-12 05:40:00,2024-09-12 11:00:00
MHTY9437,2024-09-12,2024-09-12 05:40:00,2024-09-12 10:00:00
MHYY0186,2024-09-12,2024-09-12 05:40:00,2024-09-12 10:00:00
MHOO4226,2024-09-12,2024-09-12 05:40:00,2024-09-12 09:40:00
MHSM3247,2024-09-12,2024-09-12 05:40:00,2024-09-12 10:00:00
MHOH7914,2024-09-12,2024-09-12 05:40:00,2024-09-12 09:00:00
MHSD2030,2024-09-12,2024-09-12 05:40:00,2024-09-12 09:20:00
MHXR3898,2024-09-12,2024-09-12 05:40:00,2024-09-12 11:00:00
MHMP0749,2024-09-12,2024-09-12 05:40:00,2024-09-12 10:00:00
MHJR1821,2024-09-12,2024-09-12 05:40:00,2024-09-12 09:20:00
MHLH1934,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:00:00
MHZL7215,2024-09-12,2024-09-12 06:00:00,2024-09-12 10:40:00
MHDK7513,2024-09-12,2024-09-12 06:00:00,2024-09-12 10:00:00
MHBJ1079,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:40:00
MHAW3156,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:00:00
MHCG2142,2024-09-12,2024-09-12 06:00:00,2024-09-12 10:20:00
MHZV2825,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:00:00
MHVQ3908,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:00:00
MHRP2887,2024-09-12,2024-09-12 06:00:00,2024-09-12 10:40:00
MHCH6928,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:00:00
MHFW4210,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:00:00
MHPF8631,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:20:00
MHYC6161,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:20:00
MHJS1517,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:00:00
MHLH0376,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:20:00
MHOR9005,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:00:00
MHHG2164,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:00:00
MHHH3648,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:00:00
MHFT7338,2024-09-12,2024-09-12 06:00:00,
MHLQ6075,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:00:00
MHQV6401,2024-09-12,2024-09-12 06:00:00,2024-09-12 11:20:00
MHCI1421,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:20:00
MHJO6901,2024-09-12,2024-09-12 06:00:00,2024-09-12 09:00:00
MHMP8132,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:40:00
MHNO7430,2024-09-12,2024-09-12 06:20:00,2024-09-12 09:40:00
MHFL0449,2024-09-12,2024-09-12 06:20:00,2024-09-12 10:00:00
MHYT5853,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:20:00
MHNF2856,2024-09-12,2024-09-12 06:20:00,2024-09-12 10:40:00
MHXN0045,2024-09-12,2024-09-12 06:20:00,2024-09-12 09:20:00
MHCT4587,2024-09-12,2024-09-12 06:20:00,2024-09-12 10:00:00
MHLR9186,2024-09-12,2024-09-12 06:20:00,2024-09-12 10:00:00
MHAP2971,2024-09-12,2024-09-12 06:20:00,2024-09-12 09:40:00
MHUV0612,2024-09-12,2024-09-12 06:20:00,2024-09-12 11:20:00
